Enzyme_Load,ALT_Albumin_Ratio,Bilirubin_Protein,Bili_AST_Interaction,Albumin_Protein_Ratio,Aspartate_Aminotransferase,AST_ALT_Ratio,Alkaline_Phosphotase_log,Aspartate_Aminotransferase_log,Alamine_Aminotransferase_log,Alkaline_Phosphotase,Alamine_Aminotransferase,Total_Bilirubin,Direct_Bilirubin_log
0.0016700839803778353,0.06430170695737981,0.05068883741166124,0.023670555740089947,-0.019467550691720695,0.015059354206039464,-0.01159983113916669,-0.025747148732532674,0.013726820004855698,0.012264878712305692,-0.025747148732532674,0.0298803711964232,0.010557055287006355,0.06748283699540633
-0.02818327855902512,0.06343106473118444,0.005832513618112409,0.037450743530632984,0.022075051739178488,0.021048962800487375,0.0013870297929291858,-0.0006405585973243833,0.0060226311373049604,0.02177102113558804,-0.016762150900498415,0.02177102113558804,-0.01034648486687717,-0.01119344048412942
-0.03346622203974456,-0.024607786637428408,-0.02430640023074075,-0.03343477732853876,-0.02192525255544196,-0.018659552585669203,-0.003931525374719185,-0.019477592332464388,0.004996312077398625,-0.0197139106794435,-0.027359770038726538,-0.0197139106794435,0.003089614458837705,-0.042725845963349746
-0.02219297687745544,-0.004533040666644211,0.04675425257510489,0.019038616322868393,0.013738964045973908,0.0066019870122754265,0.004257887752255037,0.0041700495972835675,0.0011972234038883768,-0.006452759280142688,-0.006877575304605379,-0.01445536630817693,0.0016122213681360512,0.06460986470634691
0.011605311093710829,0.06875161546552352,0.05761935512436897,0.032084543615348037,0.014776336418168522,-0.005459225434633721,-0.0069547692543069604,0.015816875260325308,-0.005459225434633721,0.017323850386645814,0.01789104211798806,0.022907543737432732,0.01900016160887792,0.07105534112458063
-0.03907767301808636,-0.026073087208512924,-0.00937414580619105,-0.036268685055274925,-0.014481635447369497,-0.01954904077219024,-0.012442680260814496,-0.01811599213789381,-0.011625135586718594,0.0021709916578428593,-0.018971075150611687,-0.008776599748293867,-0.007238427055295964,-0.015072739959729188
0.04510828971459107,0.07044389019972007,0.016245681828930977,0.03404836824537017,0.016893617055082612,0.00958249583675482,0.001296355142170451,0.023755208819685122,0.00958249583675482,0.016962532323295712,0.023755208819685122,0.030026470709309458,-0.007341437252949871,0.08303849765636592
0.04925633829213248,0.055806482515858576,0.01952497741256319,0.036005062017787394,0.027399436638985374,0.014818837557249566,-0.0036901775546888,0.012321195801935133,0.011368501347442312,0.014382530109081582,0.026415887613662842,0.032158072264097705,-0.008793740145587248,-0.01484890362925338
-0.031398079482266125,-0.014514521422557113,-0.04992351039233782,-0.02925822325296323,-0.0028757100281137215,-0.025000076016967757,-0.021320720306811907,-0.02149770230164249,-0.008772712901694795,-0.01253356475587612,-0.02149770230164249,-0.01253356475587612,-0.011219647225306795,-0.04033405062261298
-0.021443813791856284,-0.02698495462035375,0.04710217039252747,0.019358536802283357,-0.00017127574539870343,0.014733998665973004,0.005912760559731775,-0.0010840295897285171,0.014733998665973004,-0.0001670126299095514,-0.02841265871537298,-0.023183859963253686,-0.015115376822544097,0.0061886273197300215
0.014773136486658603,-0.001761099820914516,-0.02583754252947909,0.026936965883998843,-0.017405371395399587,0.003324351898472443,0.0038553589572619252,0.02182943243685776,0.003324351898472443,0.00021534750349238766,0.02182943243685776,0.00342098822625924,0.008248604661970988,-0.03519257819772167
0.018746008682565225,-0.028032725605911527,0.005773165378307811,0.04418361270534814,0.02463882568891103,0.01385224909508535,0.004489296637002635,0.030241117872396566,-0.005077590148864656,0.003221539312368226,0.030241117872396566,0.009853643018658577,-0.00787843247196845,0.0836166354461821
0.04179675907964441,0.05696913860223647,0.05687919120884439,0.030890764665044663,-0.0245116623859339,0.005989680470250178,-0.002486163931672263,0.019657352979551186,0.005989680470250178,0.011217265699280153,0.02687623236350533,0.01861066799638244,0.013321618866053103,0.07089152654587497
-0.0346540613347203,-0.02689712786209417,-0.029261016044053945,0.018195035240765003,-0.019005692583248242,0.01199083495953781,-0.008650536744457578,-0.02681094802925369,0.01199083495953781,-0.003980206162192078,-0.02681094802925369,-0.02276185284392631,-0.0015587309700166837,0.04616064525871016
