Model,CV_AUC_Mean,CV_AUC_Std,CV_F1_Mean,CV_F1_Std,Acc@0.50,F1@0.50,Accuracy,Precision@0.50,Recall@0.50,F1_Score,Precision,Recall,ROC_AUC,MCC,Opt_Threshold
RANDOM FOREST CLASSIFIER,0.9999764213605532,7.2890851881141625e-06,0.9979740420864666,0.0005068069599530669,0.9889965941839141,0.9922651933701657,0.9855907780979827,0.9948301329394387,0.9897134459955915,0.9898242368177613,0.997018263138278,0.9827332843497428,0.9995715613351719,0.9654486603236498,0.591274594104395
Soft Voting (Tuned),,,,,0.9879486507728583,0.991519174041298,0.9903065234477338,,,0.9932047750229568,0.9930224017627617,0.9933872152828802,0.9983969616753731,0.9763022819659668,0.39779770269364206
XGBoost,0.9997629207954146,0.00014359329732706235,0.9948481490768863,0.0011667108872431388,0.984280848834163,0.9888847721378288,0.9861147498035107,0.9973841554559043,0.9805290227773695,0.9902232060505441,0.9944423860689144,0.9860396767083027,0.9979849627087254,0.9663788032744868,0.3496265411376953
Soft Voting,0.9961405200105323,0.0009741015674325414,,,0.9813990044537595,0.9868542862432883,0.9816609903065234,,,0.9870418363569049,0.994776119402985,0.9794268919911829,0.996680858487749,0.9560242946905582,0.4783657028924053
KNN,0.9995327115034438,0.0003488190495978916,0.9957586504205057,0.0008413795855478696,0.9774692166623002,0.9840917499075101,0.9732774430180771,0.9910581222056631,0.9772226304188097,0.9810055865921787,0.9947129909365559,0.967670830271859,0.9884875142169839,0.9369925683483356,1.0
Decision Tree,0.9715624838973731,0.010220117885164285,0.9072608079409173,0.016267494078934477,0.8815823945506943,0.9102818578801112,0.9269059470788578,0.9900690846286702,0.8423952975753123,0.9471690967619769,0.9773348964439235,0.9188096987509184,0.9774875108619434,0.8331326138406551,0.31633612902166125
SVM,0.8711229798695038,0.005734669723665655,0.7934145977772304,0.009541959976242171,0.7636887608069164,0.8080034057045551,0.8008907518993974,0.9605263157894737,0.6972814107274063,0.8468359532446594,0.9379464285714286,0.7718589272593681,0.8648687004921843,0.5924012368820978,0.35573088486004234
LOGISTIC REGRESSION,0.7562028296003659,0.011919384407998699,0.6608552046556232,0.011219720708752488,0.6526067592350013,0.7048085485307213,0.6376735656274561,0.8943502824858757,0.5815576781778105,0.6778476589797344,0.9261616804583068,0.5345334313005143,0.7463186818717099,0.3939196463723966,0.5670161107832455
